DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.771
Next Day Air Package,All,0.784
Next Day Air Saver Letter,All,0.77
Next Day Air Saver Package,All,0.783
2nd Day AM Letter,All,0.745
2nd Day AM Package,All,0.747
2nd Day Air Letter,All,0.76
2nd Day Air Package,All,0.756
3 Day Select Package,All,0.693
Next Day Air CWT,All,0.602
Next Day Air Saver CWT,All,0.596
2nd Day Air AM CWT,All,0.565
2nd Day Air CWT,All,0.575
3 Day Select CWT,All,0.456
Ground CWT,Discount,0.461
Ground Freight Pricing,All,0
Ground Commercial,1-5 lbs,0.526
Ground Commercial,6-10 lbs,0.526
Ground Commercial,11-20 lbs,0.568
Ground Commercial,21-30 lbs,0.568
Ground Commercial,31-50 lbs,0.608
Ground Commercial,51-70 lbs,0.608
Ground Commercial,71-150 lbs,0.608
Ground Commercial,151 lbs+,0.608
Ground Residential,1-5 lbs,0.536
Ground Residential,6-10 lbs,0.536
Ground Residential,11-20 lbs,0.536
Ground Residential,21-30 lbs,0.536
Ground Residential,31-50 lbs,0.536
Ground Residential,51-70 lbs,0.536
Ground Residential,71-150 lbs,0.536
Ground Residential,151 lbs+,0.536
SurePost,1 - 16 OZ,0.535
SurePost,1 - 9 LBS,0.455
SurePost,10+ LBS,0.105
Export WW Express Letter,All,0.728
Export WW Express Doc,All,0.728
Export WW Express Pak,All,0.728
Export WW Express Package,All,0.754
Export WW Saver Letter,All,0.703
Export WW Saver Doc,All,0.703
Export WW Saver Pak,All,0.703
Export WW Saver Package,All,0.753
Export WW Expedited Doc,All,0.703
Export WW Expedited Package,All,0.751
Import WW Express Letter,All,0.604
Import WW Express Doc,All,0.604
Import WW Express Package,All,0.654
Import WW Saver Letter,All,0.604
Import WW Saver Doc,All,0.604
Import WW Saver Package,All,0.685
Import WW Expedited Package,All,0.657
Export Standard to Canada,All,0.35
Export Standard to Mexico,All,0.35
Import Standard from Canada,All,0.4
Import Standard from Mexico,All,0.4
DAS Comm,Air,0.5
DAS Ext Comm,Air,0.5
DAS Resi,Air,0.4
DAS Ext Resi,Air,0.4
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,Ground,0.4
DAS Ext Resi,Ground,0.4
Residential Fee,Air,0.5
Residential Fee,Ground,0.5
